frame,fps,physics_time_ms,collision_time_ms,max_penetration,avg_penetration,active_collisions
0,0.32,3169.5037,3113.2640,0.005029,0.001415,314575
1,1.18,847.1632,779.3092,0.005036,0.001416,314571
2,1.28,780.1962,733.1605,0.005085,0.001416,314576
3,1.49,673.2061,624.9635,0.005093,0.001416,314567
4,1.71,583.4149,540.1223,0.005096,0.001417,314577
5,1.79,558.4866,521.8392,0.005162,0.001417,314562
6,1.76,568.2461,519.1740,0.005092,0.001417,314578
7,1.80,556.0644,519.0134,0.005518,0.001417,314566
8,1.80,554.3874,518.4668,0.005314,0.001417,314577
9,1.78,561.6095,517.9935,0.005441,0.001417,314571
10,1.82,549.1475,513.4366,0.005246,0.001417,314576
11,1.79,559.0494,519.9021,0.006592,0.001418,314574
12,1.78,563.0412,516.9832,0.005332,0.001418,314572
13,1.78,562.2495,518.0954,0.008641,0.001418,314577
14,1.79,558.6045,521.0100,0.011788,0.001418,314570
15,1.72,582.8873,545.0071,0.007862,0.001418,314577
16,1.47,681.4564,630.3432,0.010883,0.001418,314563
17,1.23,815.2684,765.3653,0.010424,0.001418,314578
18,1.29,778.1491,724.2880,0.007432,0.001418,314565
19,1.58,631.9163,589.4196,0.005617,0.001418,314577
20,1.59,628.3741,589.3394,0.007026,0.001419,314571
21,1.65,605.3046,566.5705,0.007172,0.001419,314576
22,1.38,725.2844,687.0516,0.009235,0.001419,314574
23,1.64,609.6978,567.0597,0.010639,0.001419,314573
24,1.52,658.6415,599.0991,0.010314,0.001419,314575
25,1.59,630.3150,585.7908,0.010987,0.001419,314569
26,1.28,783.1998,727.3368,0.009620,0.001418,314578
27,1.22,819.4086,766.4913,0.008142,0.001419,314564
28,1.49,669.8337,623.9173,0.006290,0.001419,314576
29,1.59,627.6851,588.1901,0.007742,0.001419,314565
30,1.60,624.3177,583.9932,0.008246,0.001419,314577
31,1.54,648.8084,597.2777,0.006677,0.001419,314570
32,1.62,616.4914,576.2423,0.010801,0.001419,314578
33,1.54,649.3517,606.1142,0.007091,0.001419,314576
34,1.35,741.9807,681.2083,0.012949,0.001419,314574
35,1.15,871.4568,808.4832,0.007763,0.001419,314575
36,1.32,757.4339,711.2910,0.011926,0.001419,314570
37,1.45,689.6763,649.0029,0.007451,0.001420,314577
38,1.55,643.1728,599.7593,0.008765,0.001420,314563
39,1.54,647.8542,593.1561,0.006870,0.001420,314577
40,1.47,680.3660,623.7534,0.009210,0.001420,314566
41,1.39,719.8540,660.2853,0.005785,0.001420,314575
42,1.26,792.6145,720.5617,0.007353,0.001419,314570
43,1.18,848.6041,789.3377,0.008197,0.001419,314578
44,1.35,743.2548,698.3214,0.012852,0.001420,314575
